CPE,mean,std,min,max,missing_pct,hora_pico,mean_noite,mean_dia,ratio_noite_dia,std_diario,mean_diario,diff_utilizacao_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,std_mensal,amplitude_horaria,cv
PT0002000032936306KX,2.436307789473684,2.779039357857726,0.0,30.756,0.5353216674615112,22,5.046701782143407,0.5676058802308802,8.891207716330568,127.86676965608207,108.53422743259088,0.03447800606583712,22,0,3684.504139550898,5.191618686868686,1.1406766295559407
PT0002000032942455NH,0.09089167602645701,0.13116537911504195,0.0,2.86,0.6080560548809567,22,0.07160620347278958,0.08919332763045337,0.802820181454257,7.217596369004035,3.415310668229778,0.03165254697787593,22,22,148.45251489102927,0.09318862275449102,1.443095615013876
PT0002000032966446CC,0.09979108142057784,0.1052072631647814,0.0,2.244,0.5716644044168898,22,0.08816847190199352,0.09957553816046968,0.8854430870351586,5.837574375806134,4.0978686987104345,0.01087874005226673,22,22,157.48891021930518,0.06216712328767124,1.0542752084364795
PT0002000032968749YT,3.640023819339472,4.001380856038659,0.0,31.496,0.46608459591327633,12,2.209359420964469,4.75685918367347,0.464457604409954,233.4905359173322,186.31971864009378,2.127139991301038,12,5,6116.18910663473,6.0757054945054945,1.0992732615592498
PT0002000032969229AC,2.0690693544046774,2.9120939836171544,0.0,21.576,0.5001406263374788,11,0.4355208120395223,3.2016504024144865,0.13603009613762934,135.11424820964143,99.15281125439628,1.8601546338278936,11,18,3225.7201685105374,5.443030516431925,1.4074414554629737
PT0002000032976997LZ,3.039817298488323,3.1739233773902873,0.0,44.48,0.3229269843599056,11,2.6668271305943594,3.5741454567962374,0.7461439840181624,209.13718885800048,197.3172848769052,1.656134869087243,11,0,5639.179306032026,4.895559792027729,1.0441164931091924
PT0002000032990792KD,2.3355583929089616,3.3712746474240722,0.0,28.7,0.5364589065385132,1,3.120955241097192,2.2138323688969255,1.4097522851977513,184.80127773767637,103.79133880422035,1.8223684689108293,1,18,4743.009615710108,2.310964756152413,1.443455516958887
PT0002000032993611ME,0.8494830226845831,1.006829077124737,0.0,7.016,0.32293921273707765,11,0.32327958616254243,1.2056379054221342,0.26813986579938476,55.79399402154165,55.13971395076209,0.26197952483644754,11,10,1327.9013712409912,1.4889740034662047,1.1852256610648912
PT0002000033016394FN,1.1994856245033592,1.1875631492867487,0.0,8.28,0.3228902992283894,17,0.5577746426034994,1.6349223817776675,0.3411627663920201,71.21649280070481,77.8639132473623,0.7966167880300699,17,22,1909.3764292424175,1.8091559792027727,0.9900603433896534
PT0002000033039837ZH,1.6107976070501961,1.700687759387975,0.0,11.816,0.4297051738263815,10,0.8505256177433552,2.1449376837154612,0.39652695936139026,100.45062019342538,88.06889566236809,0.9999674532588286,10,0,2548.666896111917,2.5253374485596707,1.0558047466325655
