device,count,mean,std,min,25%,50%,75%,max
C22FC002165M,5137.0,81.63772629939653,301.9955201001521,-4.0,11.0,50.0,108.0,15789.0
C22FC002170J,6195.0,174.84309927360775,155.23517083719173,0.0,66.5,163.0,253.0,4663.0
C22FC002175O,5839.0,35.556602157903754,43.28235144240074,0.0,7.0,24.0,48.0,674.0
C22FC002177Q,6343.0,237.23490461926534,117.45613189174719,0.0,224.0,230.0,325.0,3004.0
C22FE011956,6346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C22FE011961V,6417.0,1700.8790712170796,635.61122969281,22.0,1421.0,1549.0,2033.0,11646.0
C22FE011963X,5938.0,48.86089592455372,26.042446985217833,0.0,50.0,53.0,54.0,468.0
C23FC001331N,5000.0,94.2854,140.3438150547605,0.0,21.0,60.0,116.0,2932.0
C23FC001332O,6186.0,35.862592951826706,44.499674735641136,0.0,6.0,22.0,49.0,586.0
C23FC001333P,6098.0,52.90078714332568,53.54632834615332,0.0,15.0,41.0,76.0,622.0
C23FE003151H,6096.0,254.27345800524935,1578.8883495055463,0.0,0.0,0.0,0.0,41352.0
C23FE003152I,6093.0,38.4603643525357,246.34462701473066,-5.0,0.0,0.0,1.0,2356.0
C23FE003153J,4495.0,8.157953281423804,39.94991260252402,-2.0,0.0,0.0,0.0,953.0
C23FE003163L,5918.0,0.018080432578573842,2.1798881515277833,-82.0,0.0,0.0,0.0,145.0
C23FE003164M,6243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D01TE042969,5304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D01TE050163,5013.0,83.55874725713146,748.2768595708546,-10.0,0.0,0.0,0.0,17360.0
D01WF051014,5716.0,428.03533939818055,633.5559267434196,0.0,30.0,110.0,600.0,6510.0
D01WF056237,4415.0,11.56964892412231,254.22689576329594,0.0,0.0,0.0,0.0,6670.0
D03TD027211,6510.0,114.50122887864823,218.51653350980263,0.0,1.0,11.0,146.75,4596.0
D03TD038363,6501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D05AE129685,3160.0,48.69715189873418,522.0367595672398,0.0,0.0,0.0,0.0,13900.0
D05AE129686,4603.0,12.686508798609603,178.28216373782217,0.0,0.0,0.0,0.0,6454.0
D05AE130850,6027.0,16.044300647088104,322.00321461798444,0.0,0.0,0.0,0.0,18992.0
D05AE130852,4295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D06AE082862,5012.0,27.34417398244214,259.07861135354676,0.0,0.0,0.0,0.0,4360.0
D07AC001465N,3977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D07AC001466O,3562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D07AC003358T,6685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D07AC003363O,6201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D07AC004101A,6161.0,72.86625547800682,754.2340330361781,0.0,0.0,0.0,0.0,15876.0
D07AC116408J,6629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D07AE127769C,6128.0,161.69370104438642,537.902269611149,0.0,0.0,0.0,0.0,3833.0
D07AE127770V,5809.0,18.130487175073164,119.86413271601856,0.0,0.0,3.0,14.0,2140.0
D07AE137190M,5903.0,15.191936303574453,249.54885608172822,0.0,0.0,0.0,0.0,5587.0
D07AE137191N,6180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D07AE137194,5443.0,14.204482821973176,261.41991472300884,0.0,0.0,0.0,0.0,6948.0
D07OF134064K,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D08AB044387,1942.0,47.921730175077236,202.98567178122025,0.0,0.0,8.0,17.0,4130.0
D08AC357150V,4072.0,77.9425343811395,138.84061694279012,0.0,12.0,41.0,85.0,2394.0
D08AC395031B,6653.0,27.006613557793475,36.08379893457354,0.0,5.0,15.0,36.0,510.0
D08AE056364Z,2133.0,0.005625879043600563,0.25982792098465235,0.0,0.0,0.0,0.0,12.0
D09AC220451,6417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
