CPE,f01_pct_hora_00,f02_pct_hora_01,f03_pct_hora_02,f04_pct_hora_03,f05_pct_hora_04,f06_pct_hora_05,f07_pct_hora_06,f08_pct_hora_07,f09_pct_hora_08,f10_pct_hora_09,f11_pct_hora_10,f12_pct_hora_11,f13_pct_hora_12,f14_pct_hora_13,f15_pct_hora_14,f16_pct_hora_15,f17_pct_hora_16,f18_pct_hora_17,f19_pct_hora_18,f20_pct_hora_19,f21_pct_hora_20,f22_pct_hora_21,f23_pct_hora_22,f24_pct_hora_23
PT0002000032936306KX,8.829915159071314,8.851868757465601,8.863871407725176,8.866867227648989,8.856757414591971,8.831936140007059,7.287681620892641,2.552650095516143,0.2175811346396312,0.0,0.0067211694832532915,0.0,0.0,0.0,0.0071830610277030865,0.001908000585483606,0.02597816181773853,0.3615013597980573,1.6644197053092329,3.482921249754784,5.263094429497826,8.281197382773636,8.874710750417822,8.871235771975934
PT0002000032942455NH,4.335287639154967,3.5832829087241316,3.150913751652419,2.9787986736991945,2.8687218854069427,2.913603568413886,3.1476196831748426,3.8256487781420865,4.125546262454521,3.159011669993119,3.1706781625178606,4.073939189639197,4.33307257654166,4.6278917052845,4.53757932785769,4.387012947861926,4.365189744198003,4.687047685027592,3.896471250409919,3.995293304737128,4.059390387196584,6.79250645361008,7.1407169422602585,5.844775502041496
PT0002000032966446CC,4.14908447165897,3.891806103608855,3.757425197251246,3.6860425837493036,3.4793304321499288,3.376145949171162,3.4300260949394534,3.3036193835297643,3.2942389759862434,3.5127338346219914,3.845166326347383,3.6379965938922254,3.602534077569147,3.8258335351906045,3.992507361909084,4.467933871066246,4.606008894298368,4.6389547159146485,5.37508791765342,5.202694330237676,4.902521288844895,5.139776962567695,5.889980775621755,4.992550322219938
PT0002000032968749YT,2.4347931844447928,2.508433208329996,2.479461549233234,2.5240965221648017,2.591857941695053,2.607521322184315,2.559897096879856,2.9898109705560416,7.947576614400011,8.43548902948623,8.013921410120549,8.064348688576018,8.76265112715286,7.75124966457276,4.956731483300821,4.374400965487042,4.006979576603033,3.8556021254199866,3.1969953479834787,2.08154123104636,1.8067363416079316,1.841064935987851,1.8428086665387038,2.366030996228268
PT0002000032969229AC,0.9382303504581768,0.8766103000824468,0.8599016511448355,0.8643279180373701,0.8611217118908545,0.8703856615088835,0.8709767762114122,2.685178732036096,7.8805757019950535,9.285210831649318,10.886620952398932,11.82498953361623,10.1910822909804,7.025402968470447,6.9289897960292155,6.622896416307028,5.412459017645093,4.79663572055076,3.636050571441279,1.7777278142198574,1.3431733873441465,1.2316844255296258,1.1936119097691613,1.136155560683378
PT0002000032976997LZ,4.201992677329264,4.227735897892868,4.0828993739464785,3.746928200306864,3.4384896112325314,2.9983530967298457,2.89136085546706,3.3218621531451746,5.177190143129181,5.814397248690241,5.895676574048404,7.764851624897901,7.712983941429536,6.976305574996859,6.23820425617811,5.129294373499742,4.553155443212165,4.205178257286708,3.080722797956469,1.599840333606837,1.116991492056373,1.0545550019675656,1.1148820067160823,3.6561490642777312
PT0002000032990792KD,4.446424443414465,5.829956503739103,5.759313333420749,5.760681750051561,5.763486326710752,5.758242987739223,5.654405907951659,4.944802850911765,3.189318511319541,4.421801240577792,4.863876588180672,4.838034740122893,4.144125570185546,3.3527426836052374,4.575678110033335,4.778795397065591,4.025127518022946,4.053995237838626,3.426668795254621,2.5694664236002027,2.105437698959774,1.9855002716842733,2.0447125173825484,1.7074045922271246
PT0002000032993611ME,1.6343274789155038,1.5842306812754632,1.5726937638626135,1.5804315154757724,1.5762140156954134,1.5756017979853612,1.5791220498181606,1.7862642114095422,3.3457527793872823,6.757999204505224,8.376031091006697,8.87796458301192,7.7900537122493185,5.33945675821948,6.627613838311626,7.669089696371523,6.721835844493396,7.901817456428832,7.017766580089835,2.419161275223413,2.1813572099869214,2.1947749814655633,2.0981721286335913,1.7922673461775531
PT0002000033016394FN,1.948950564363573,1.9568271336738001,1.9567492579672452,1.9408887521697056,1.9410995030060434,1.9387270507341263,1.8821976549758506,1.7782131923267601,2.6555689240011886,5.030447841262709,5.60134777109205,5.509062990585943,5.23131145265007,5.252007184778447,6.144458697787131,7.0224587248755075,7.4929750206309045,8.063905057722577,7.7364163224109745,6.917860074074804,5.088705393878954,2.694058048168946,2.1745813224060364,2.0411820644566503
PT0002000033039837ZH,2.2709007820007754,2.28493087156569,2.2924936434245082,2.304593805627693,2.290907260522375,2.136527716355037,1.8229349512581563,1.7280287956231462,2.401528189067109,7.304787538231043,8.261552101491842,7.8139525686251545,7.266538675305447,6.855303510239002,6.864885688842494,6.639486230925623,6.770948397932945,6.433453420652917,4.016812006555081,2.916942929283718,2.4167851467768884,2.300335059581698,2.3069520862506634,2.2984186238609996
PT0002000033074862LZ,1.9159939382358833,1.9079037373488223,1.9049687616585902,1.906260516122565,1.9042306162506049,1.9001708165066844,1.9199162061702968,2.425545810640367,6.411346477410095,7.504170753932633,7.60566574753064,7.859403231525658,8.350454464188015,7.863463031269578,6.934137962615829,6.492911544992492,5.486450281204258,4.723392465699242,3.794990078805474,2.4382788189281173,2.262415675475571,2.3140858540345564,2.237134195252067,1.936709014201967
PT0002000033085062AW,1.749957163674458,1.6108603863835131,1.5366675203090931,1.5045799923333738,1.5120775683146286,1.5564967737084674,1.6874264711937061,2.5132189272773227,4.920192484146152,4.840990817871444,5.4363507813843315,7.55834304812371,7.253459101753109,6.957960233009394,7.22921519172701,6.850802570138848,6.623987789055577,6.717639329039611,4.5393785410199365,3.744111180994267,3.868235386434984,4.948819592438216,2.848617483585617,1.9906116660832391
PT0002000033094187PL,2.9440618086914596,2.6651980774250914,2.6164490469331536,2.53340180725027,2.5739220808490124,2.557848202866309,2.6656875858569724,4.6373985400912465,5.871894063135686,6.383804027907485,6.0119896719558295,5.951870249791927,5.712124732718827,5.243568816744745,5.0990327228640036,4.250893296923854,4.1623886672046675,4.6481234979017225,4.700148356458984,4.700263605689563,4.3076772707674325,3.142961767156131,3.337746525569895,3.281545577245723
PT0002000033171958DG,2.568200852509118,2.6595716717119346,2.6654376169758596,2.6767162048671347,2.696587610267978,2.713830915203288,2.741166455468627,3.3517837664530115,4.406541817553269,7.446702072693297,7.450409424447186,7.0412743234474755,6.72277985355062,6.219799321820806,6.279438253701697,6.117962488421209,5.921159780205887,4.880069499238299,2.746686290302195,2.5540770088484943,2.540705826856136,2.5449898777717403,2.525728125770425,2.528380941914319
PT0002000033186037TF,2.3252488118639527,2.3005500675240773,2.213014593855321,2.381948791861638,2.5298982986053113,2.528247630003911,2.747578553746462,3.830484489677837,6.363806125628946,7.264554514721699,7.284725205030257,7.566760202267712,7.070268287000488,6.081532461445085,5.56613252401593,5.431313032661834,5.067699939807397,4.390386479267463,3.387979304354659,3.324295229711104,2.9856801661566417,2.619569070374317,2.419796169555556,2.3185300508624116
PT0002000033254603ZX,2.74891098165169,5.287949671660285,5.576413251764819,5.188836301217535,4.6923547123985365,3.6279507530839687,3.1195706301897608,3.845996474855812,6.30966804141506,5.542555820508501,5.941685535764709,6.3413491596012115,7.7013694013503775,6.679286595500756,5.165471444774974,4.427553853523465,3.884481113808045,3.231113031090326,2.4558014998434774,0.9615795228037238,0.8534172717008064,1.4496723908575175,2.3816225298765206,2.585390010758111
PT0002000053093191SV,3.6083847916418015,3.59618863168071,3.604731598199006,3.6030568902350515,3.6022388598065036,3.6016076237277823,3.607488425155055,3.6048733042574943,3.68021583908203,4.615243942464861,5.095073538875821,5.211530154215448,5.164676978331574,4.819880373291186,5.130235964934395,5.273951672979624,5.228837616904474,4.993850324823707,3.7611493220323853,3.6589148420174205,3.6492659476712506,3.643932646924503,3.635526901182344,3.6091438095655795
PT0002000065256275YB,0.19689172054739604,0.09565736539519697,0.05925306490513297,0.07213416597146621,1.1953661789555503,0.15972565322253235,0.09789636810413273,5.283827657409803,0.4740245192410282,3.01675386973512,15.454745059386607,6.324620623569556,1.2675003449270685,0.7187654395012774,7.138706210961776,4.446556088098158,5.513111256390581,2.59940619518592,4.443979867884913,10.168341181763338,22.820158649115914,6.074727262882598,2.2670737876744633,0.11077746917046596
PT0002000065523872AA,2.1766780642469232,2.115153398763558,2.1085824177260024,2.062093986469046,1.9821781594035275,1.931815692208496,1.9131096329646338,1.8981669229177502,2.141013632864781,5.5397607047122746,6.932531967822318,7.192645809379069,6.561510011695411,5.541199632346416,6.470525510521092,7.210023627729878,7.254409010906161,6.309919049202437,3.519727679856647,4.485358809108177,4.401568946104584,4.162706958836724,3.7406584150682534,2.348661959145829
PT0002000066469574LZ,3.972231381376981,3.9556507560000336,4.074259748158229,4.034618478711375,3.962303345678565,4.033285364954596,3.9509341491113195,3.9261206260724095,4.048087958272789,4.06016144135305,4.1314578742509624,4.330645191985508,4.347749293015876,4.378008459985779,4.51880287986444,4.433609364879352,4.357131395492829,4.397288303279569,4.267988845416906,4.137431733066716,4.181374180860913,4.201031320500962,4.227052191847899,4.072775715862948
