CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal
PT0002000032936306KX,2.436307789473684,2.779039357857726,30.756,0.0,0.0,5.576,5.356,0.5353216674615112,0.2484683957591988,22,5.046701782143407,0.5676058802308802,8.891207716330568,5.191618686868686,2.5733580600865023,1,22.0,0.0,0.03265944432305027,1.1406766295559407,1.1781239216494943,0.9739844738110177,0.9103711165095594,0.38710589445229404,0.003566671119419174,1.1939456377835476
PT0002000032942455NH,0.09089167602645701,0.13116537911504195,2.86,0.06,0.0,0.284,0.088,0.6080560548809567,0.09616395808112306,22,0.07160620347278954,0.08919332763045332,0.8028201814542572,0.093188622754491,0.10300127268219779,1,22.0,0.0,0.03617533285891193,1.443095615013876,2.1133059537289642,0.9302058595446463,0.05420010300891161,0.016810063540778047,0.0049219720176996475,1.5287257047880647
PT0002000032966446CC,0.09979108142057784,0.1052072631647814,2.244,0.084,0.0,0.224,0.11599999999999999,0.5716644044168898,0.0890225858126368,22,0.08816847190199348,0.09957553816046963,0.8854430870351587,0.06216712328767121,0.10474094592950382,1,22.0,23.0,0.01242208443676159,1.0542752084364795,1.4245391458352903,0.8361266249973226,0.19835230899874226,0.015921305551294427,0.003885264932062058,1.3516497314473814
PT0002000032968749YT,3.640023819339472,4.001380856038659,31.496,2.036,0.524,12.747799999999987,3.208,0.46608459591327633,0.0006603323672915367,12,2.209359420964469,4.756859183673469,0.4644576044099541,6.0757054945054945,3.3496888458760576,1,12.0,0.0,2.5603710407728193,1.0992732615592498,1.2531713638337785,0.9425642149087082,0.6688872394879193,0.6180646973726357,0.00331722644218096,1.1545009875941032
PT0002000032969229AC,2.0690693544046774,2.9120939836171544,21.576,0.496,0.304,8.604,2.472,0.5001406263374788,0.0004769067097105543,11,0.4355208120395223,3.201650402414487,0.13603009613762934,5.443030516431925,2.311277371732048,1,11.0,18.0,2.207453712247271,1.4074414554629737,1.36268701310928,0.964176455792718,0.6423558911574803,0.3644709914591041,0.003675851313221784,1.1441787587773042
PT0002000032976997LZ,3.039817298488323,3.1739233773902873,44.48,1.468,0.34,9.298399999999994,4.668,0.3229269843599056,0.004610098193868692,11,2.66682713059436,3.5741454567962374,0.7461439840181625,4.895559792027729,3.0502691063926832,1,11.0,18.0,1.9820554246118507,1.0441164931091924,1.059903033778664,0.9674012100338405,0.7622410068958215,0.5189105317431082,0.0026298280562031193,1.0051317612996566
PT0002000032990792KD,2.3355583929089616,3.3712746474240722,28.7,1.044,0.0,12.128,2.2220000000000004,0.5364589065385132,0.029299191704268927,1,3.1209552410971924,2.213832368896926,1.4097522851977513,2.310964756152413,2.5442538292575314,1,1.0,18.0,2.147507766637989,1.443455516958887,1.780507698106327,0.9766048974980532,0.7041072026033808,0.4854658288554767,0.004677325048973513,1.6071822032791558
PT0002000032993611ME,0.8494830226845831,1.006829077124737,7.016,0.344,0.276,3.292,0.5,0.32293921273707765,0.020372476368661116,11,0.32327958616254243,1.2056379054221342,0.26813986579938476,1.4889740034662047,0.8751028831427609,1,11.0,0.0,0.5080846298952829,1.1852256610648912,1.0118658589952765,0.9689311789625453,0.6541609532723702,0.11483658501660517,0.0020826474565891024,0.8469807387978848
PT0002000033016394FN,1.1994856245033592,1.1875631492867487,8.28,0.612,0.36,3.784,1.088,0.3228902992283894,0.005551683236117735,17,0.5577746426034994,1.6349223817776675,0.3411627663920201,1.8091559792027727,1.207635482110103,1,17.0,0.0,0.6629101107327446,0.9900603433896534,0.914627711741901,0.9833578806072218,0.5507406525139948,0.17494842651511822,0.002246848626260701,0.862437345254823
PT0002000033039837ZH,1.6107976070501961,1.700687759387975,11.816,0.916,0.508,5.852799999999989,1.044,0.4297051738263815,0.018036856328796605,10,0.8505256177433552,2.1449376837154617,0.39652695936139015,2.5253374485596707,1.6582576221586798,1,10.0,0.0,1.152543681158982,1.0558047466325655,1.1405913454226266,0.9743964013733077,0.6235021920248324,0.2825811138040744,0.003208636961764714,1.0178007136712204
